"Position","Age","Team_from","Type_Team_from","League_from","Type_League_from","Team_to","Type_Team_to","League_to","Type_League_to","Season","Market_value","Transfer_fee","plus_value"
"Midfielder",20,"Dinamo Zagreb","Vendeurs_1"," Croatia","Profits_2","Hajduk Split","Profits_2"," Croatia","Profits_2","2004-2005",5000000,1500000,-3500000
"Defender",25,"Feyenoord","Profits_1","Eredivisie","Profits_1","Suwon Bluewings","Acheteurs_2"," Korea, South","Acheteurs","2004-2005",2800000,2000000,-800000
"Forward",23,"Real Sociedad","Profits_2","LaLiga","Profits_2","Ulsan","Acheteurs_2"," Korea, South","Acheteurs","2005-2006",2000000,2000000,NA
"Midfielder",23,"San Lorenzo","Vendeurs_2"," Argentina","Vendeurs_3","Tiburones Rojos","Acheteurs_2"," Mexico","Profits_2","2004-2005",3000000,2500000,-500000
"Forward",34,"Villarreal CF","Profits_2","LaLiga","Profits_2","Al Rayyan","Profits_2"," Qatar","Profits_2","2004-2005",4000000,2000000,-2000000
"Forward",28,"AS Nancy","Vendeurs_2","Ligue 1","Profits_1","Al Arabi","Profits_2"," Qatar","Profits_2","2008-2009",4500000,9000000,4500000
"Defender",28,"Portsmouth","Profits_2","Championship","Profits_1","Al Sadd","Profits_3"," Qatar","Profits_2","2010-2011",5500000,4200000,-1300000
"Forward",28,"Galatasaray","Profits_3","Süper Lig","Profits_2","Al Sadd","Profits_3"," Qatar","Profits_2","2010-2011",10000000,8150000,-1850000
"Forward",29,"Stade Rennais","Profits_2","Ligue 1","Profits_1","Al Sadd","Profits_3"," Qatar","Profits_2","2007-2008",3500000,7000000,3500000
"Forward",24,"Gamba Osaka","Vendeurs_3","J1 League","Profits_2","Al Sadd","Profits_3"," Qatar","Profits_2","2009-2010",2500000,7500000,5000000
"Forward",27,"Saint-Étienne","Profits_2","Ligue 1","Profits_1","Al Sadd","Profits_3"," Qatar","Profits_2","2008-2009",7500000,5000000,-2500000
"Forward",28,"Marseille","Profits_3","Ligue 1","Profits_1","Al Duhail","Acheteurs_2"," Qatar","Profits_2","2010-2011",4000000,3500000,-500000
"Forward",25,"Lok. Plovdiv","Vendeurs_3"," Bulgaria","Vendeurs_3","Al Ahli","Acheteurs_2"," Qatar","Profits_2","2005-2006",2000000,2000000,NA
"Forward",28,"Middlesbrough","Profits_3","Championship","Profits_1","Al Sadd","Profits_3"," Qatar","Profits_2","2009-2010",6800000,12000000,5200000
"Forward",25,"Paris SG","Profits_4","Ligue 1","Profits_1","Al Rayyan","Profits_2"," Qatar","Profits_2","2008-2009",5000000,8000000,3000000
"Forward",20,"Vélez Sarsfield","Vendeurs_2","Torneo Final","Profits_2","Al Sadd","Profits_3"," Qatar","Profits_2","2007-2008",7500000,15000000,7500000
"Forward",29,"Gamba Osaka","Vendeurs_3","J1 League","Profits_2","El-Jaish","Acheteurs_2"," Qatar","Profits_2","2010-2011",1000000,4300000,3300000
"Midfielder",22,"RCD Mallorca","Profits_2","LaLiga","Profits_2","Al Arabi","Profits_2"," Qatar","Profits_2","2006-2007",1750000,3600000,1850000
"Forward",23,"Spartak Moscow","Profits_3","Premier Liga","Profits_2","Al Sadd","Profits_3"," Qatar","Profits_2","2009-2010",1000000,3400000,2400000
"Forward",30,"Internacional","Profits_1","Série A","Profits_1","Al Gharafa","Profits_2"," Qatar","Profits_2","2008-2009",1000000,7000000,6000000
"Forward",25,"Nagoya Grampus","Profits_2","J1 League","Profits_2","Umm Salal","Acheteurs_2"," Qatar","Profits_2","2009-2010",3000000,5700000,2700000
"Forward",26,"Kuban Krasnodar","Profits_2"," Russia","Profits_2","Rubin Kazan","Profits_3"," Russia","Profits_2","2011-2012",3000000,5000000,2000000
"Midfielder",26,"Everton","Profits_3","Premier League","Profits_3","Spartak Moscow","Profits_3"," Russia","Profits_2","2011-2012",6500000,6700000,200000
"Forward",25,"Anzhi","Profits_2"," Russia","Profits_2","Dinamo Moscow","Profits_3"," Russia","Profits_2","2011-2012",14000000,19000000,5000000
"Defender",27,"Blackburn","Profits_2","Premier League","Profits_3","Anzhi","Profits_2"," Russia","Profits_2","2011-2012",12000000,14000000,2000000
"Forward",30,"Spurs","Profits_3","Premier League","Profits_3","Loko Moscow","Profits_3"," Russia","Profits_2","2011-2012",8500000,9000000,500000
"Midfielder",26,"Rubin Kazan","Profits_3"," Russia","Profits_2","Dinamo Moscow","Profits_3"," Russia","Profits_2","2011-2012",8000000,8000000,NA
"Forward",19,"VVV-Venlo","Vendeurs_3","Eredivisie","Profits_1","CSKA Moscow","Profits_2"," Russia","Profits_2","2011-2012",5000000,5000000,NA
"Forward",23,"Atlético-PR","Profits_2","Série A","Profits_1","Ittihad","Acheteurs_2"," Saudi Arabia","Acheteurs","2005-2006",200000,4500000,4300000
"Midfielder",27,"FCS Bucharest","Vendeurs_2","Liga 1","Vendeurs_2","Hilal","Profits_2"," Saudi Arabia","Acheteurs","2008-2009",3000000,6000000,3000000
"Midfielder",24,"Palmeiras","Profits_2","Série A","Profits_1","Al-Ain FC","Profits_2"," United Arab Emirates","Profits_2","2008-2009",5500000,8000000,2500000
"Forward",25,"Trabzonspor","Profits_2","Süper Lig","Profits_2","Al-Ahli (UAE)","Profits_3"," United Arab Emirates","Profits_2","2011-2012",6000000,4500000,-1500000
"Forward",23,"Real Betis","Profits_2","LaLiga","Profits_2","Al-Jazira","Profits_2"," United Arab Emirates","Profits_2","2008-2009",8000000,10500000,2500000
"Midfielder",27,"Corinthians","Profits_1","Série A","Profits_1","Al-Wasl","Acheteurs_2"," United Arab Emirates","Profits_2","2009-2010",2700000,4100000,1400000
"Midfielder",30,"Hilal","Profits_2","Professional League","Profits_2","Al-Ain FC","Profits_2"," United Arab Emirates","Profits_2","2011-2012",3000000,4200000,1200000
"Forward",29,"Lanús","Vendeurs_2","Torneo Final","Profits_2","Al-Ain FC","Profits_2"," United Arab Emirates","Profits_2","2009-2010",4500000,6950000,2450000
"Midfielder",23,"Audax Italiano","Vendeurs_3","Primera División","Profits_2","Al-Shabab","Acheteurs_2"," United Arab Emirates","Profits_2","2009-2010",1900000,3600000,1700000
